# Commit SHA map: pre-rewrite -> published
#
# On 2026-08-19 this repository's history was rewritten. Two things changed
# and nothing else:
#   1. one working-notes file was renamed to ENGINEERING.md, in every commit
#      that contained it;
#   2. references to its former name -- in four source files and in commit
#      messages -- were updated to match, and an authorship trailer was
#      removed from eight commit messages.
#
# No other file differs at any commit. The exhaustive list of paths that
# differ anywhere across all 64 commits is:
#     AMENDMENTS.md
#     ENGINEERING.md
#     scripts/h7_content_free.py
#     scripts/slurm/lidc_condition_confirmatory_array.sbatch
#     scripts/slurm/lidc_confirmatory_array.sbatch
#     scripts/slurm/transmil_smoke.sbatch
#     tests/test_prereg.py
#
# Stamped artefacts under runs/ record the commit they were PRODUCED at,
# which is a pre-rewrite SHA. That is deliberate -- re-stamping them would
# falsify when the run happened. Resolve any such SHA through this table.
#
# old(full) new(full)
9eada3e28af9c1e0647fb25d24d43e2cc5834126 9eada3e28af9c1e0647fb25d24d43e2cc5834126
b2caa042532d377e12beb3e501a0a6a750547488 b2caa042532d377e12beb3e501a0a6a750547488
31488dec1ea4da3af29faefefef3813a16f2d97a 31488dec1ea4da3af29faefefef3813a16f2d97a
193bde0543254d4ee85b27dbac9cd31ebabcbe32 193bde0543254d4ee85b27dbac9cd31ebabcbe32
31db178980bd46060a3e4bae888d8cc8fe4ead86 31db178980bd46060a3e4bae888d8cc8fe4ead86
c7f077583900ad7e216bc2bfea08d67f8c3b2189 c7f077583900ad7e216bc2bfea08d67f8c3b2189
35662f356b96a7d7b48814a30c64d3c9b5da6a78 35662f356b96a7d7b48814a30c64d3c9b5da6a78
92faf13c212826cef120ca277687d8783f40ff8b 92faf13c212826cef120ca277687d8783f40ff8b
ea5426658ef3e6386bca4e90a8ccd25cee9b05ea ea5426658ef3e6386bca4e90a8ccd25cee9b05ea
96881622c7ef08959f68d37a2eb508df97e9e22d 96881622c7ef08959f68d37a2eb508df97e9e22d
4141a5fc731c5797514b0308ff7056b8f8f221b1 4141a5fc731c5797514b0308ff7056b8f8f221b1
4a38d7406f6066b6919204790e55d7b920f1bf65 4a38d7406f6066b6919204790e55d7b920f1bf65
8eb1154728b6f83572c75600aab46a2333208d77 8eb1154728b6f83572c75600aab46a2333208d77
b4720fe3237585a117b30b1553e8cef17320f311 b4720fe3237585a117b30b1553e8cef17320f311
0e596822e61b798a4dbb505707c819d958e0de22 0e596822e61b798a4dbb505707c819d958e0de22
d183b7f1f79b8906cc8209accc2dbb8090bf0ad6 d183b7f1f79b8906cc8209accc2dbb8090bf0ad6
acb9538793676216a440a2968f2c717a451db637 acb9538793676216a440a2968f2c717a451db637
155040c1229ab57ceeb2567fad6d2142bb646c10 155040c1229ab57ceeb2567fad6d2142bb646c10
a942aaa9d1dcba45ea9ab4c2d5a93915f7ce5f37 a942aaa9d1dcba45ea9ab4c2d5a93915f7ce5f37
c2427cdbd6a8793c2fefdc9af8957813e2623e51 c2427cdbd6a8793c2fefdc9af8957813e2623e51
589dd6330b73f00538319eda6521bbd95f774ba3 589dd6330b73f00538319eda6521bbd95f774ba3
e59aabacf10674dfc650ab1c17d69538fd4cce72 e59aabacf10674dfc650ab1c17d69538fd4cce72
5bf572f9548867084de24edc5177eed59c8a6a07 5bf572f9548867084de24edc5177eed59c8a6a07
eb8f9e839c8e592e5078d6c5236a58e2406f077e 2fe3ff3b51a17f1baede200fa0f0362d2465e77f
a7c52dc88893c06c7e19adee481afb0b66050d8e c6d0246a18fd13d165a608b6b003fa0e88436b31
18c174c8ad923c52a97d2ccc9baf6cd92fa697c8 2fd5fcdcc1916607ad29da656e9452e6e7719428
cdaf4f679d3bcab6c3a75063ffdc7b40cae8c6aa 780eda74c053a6d6ca03fd7d503e01527b485db9
f8028ef7570ec7779259228bf3f9963e596a419b e25e8516f570f0710df11bd8d677b32d16a2e9ce
70806c62d7d2bca4d55fa562cda9be6cd96c85e6 0e8dabc07a5301b450c1a723ab6887de7036f9c0
9797fd22f2fcd2153ac15e1491dfbaef0db8754b c957e91f9fc82e7214a6bf472e3cadc205adfffa
56debd7edb7a5ecb4c77271b197cd450dfdbabea 7c3ec01c3d2c12fe5382800aa288e83b38329515
40e2ac65b5616d7ca23eeb66f0044f0cb4481b39 ea186b10cbb334def20e91b77affa6e459ef9106
2dca2b41958b59a0799000d4b4d7f7c9bc7d2206 7d4d316a51368720b0bd5315087e3e2152b1b24e
afebaf6593031b3ce2b45332a41d088b96e2fc7c 1bed0ad4ec55eaef112e4e936ce56e1985fe5ef4
e91d6987acdea39dba4def976ef36dab9746c932 54194d364a21a9d7d29a2b00539e0ec46bbe0171
77b441a8ba9f8f30f3d778395a1012f623e14bd2 7907c3b23dc060bdf1e6f43b610f05231f9d52d1
2892336be0fbcfa985c2fa76b28b0cf503b6137c 0a65640264fb727d76929a90c7012d67a433777d
3d5076a7d190945caccc510cfdf70e1348cabe65 1cf79ef8ea655e504624be823032c6082b2b83a4
326a64b9c561ffdfb9eee96b34e481f41a1bdda4 bb0f883d51d935fdfcffee3d9843cadde368e5f7
f46589e050372d2d8bff61edf6a31c511fb39988 6019a4418d9a4634f7e3fa809b5f040c20db73c4
00f621f59f40ad0dd3bde23f0e9cd90600dd4c44 2e61f3fdc9406e4e55b8480bbfd7794d4447c77d
dd4e55af8f1a1f5a3526c24ae0433a46851aeb3a c5190e60f2c2fbfbb3f89cb9567d3d3f05bee829
07c68e40505c0706bceeec0cc07c305650063f8a 16cfa55c439ed66292050af2aba3a1d8af53876a
c0ccd3d77172a93b0c3e45ce5d1713b3d62e6144 ee1c73b36eef541caa58c983c57007296559c060
36d4c0d3e3878ca054f8f324a21308971988b04a dc792bad9c39d016f8b06c926bc36cc6b6b6d9fb
aa836bc08d41b42da42c708b7219b00103306577 6ee204b73bc1e0f8cbaa172df7719175a9331225
a0c8e4c13eb22716ab06811fbe7c8c046b37d645 49c503e474dd5bae17c42b5668787d94a2e8fad1
af6a1ed0e4990ee4b359e2a7bf72882f661f33fe 54d05322316470bba7ca31cdd32716ab1682ac71
b82f24790774d8eb9fcc3206eac2b36e95110f51 8c47c79b21b1b57a1ebcd038377446fa7e737d0a
2cf49d8f89611cd200a398e536e23ed698853693 504cec1cf59dd0a779421158478fe7ccc1ca56af
900412a4b72ecb2342e51d1a4feeb5dcf92dd808 592e9e51df5971e55b89d88fb32be3d5b08743be
1a8487bd69e63b55aede5afe2b40e857c62150c3 fee62708524ef42167d55360addc580542847d16
cee587ae2f5e9b457c9268b34a933e63448c7b9c f26bd4a5bd73dc61180f11ade2f2f920550123fe
458ca1d77af0b69f1310ff7e241c780237a1237d 0d1903633bd5b07fb974675a303df787e91063ac
12e83b52bd88a73e4313c64ca0bbc68986ed6d78 73af268ced4555c1386aee678d049876087a9ffd
cf9211110f68d6d4ef8716b706e11e23fd5b417a 5cad2bc4b3072bb8cc080767364ded6ad9ce22f0
3deb74f0befb85dc9c5b77784b30154e32b182f3 1f44159f7891c0e9cfe613c305f5b0a814598b58
24b113b54118972707f28bfa97511abd69622c88 ee5d7260b282a35ff81ae2723d589234ed98708e
4b49dd7f11a67620f7c6dae1f770d74a8036e1eb 4e0f427b44a224c31968f9585780eebd35af759e
9d34952915b911797ba503a930a92297868b56e3 fbcca619188698bf5a1efd2466d0c40fbc25e2a4
ef6c1fca79b860808cf3612156d5bcc660921031 b0ac6d7b8c9c386d46bcb273b578db9042f52590
b2e28bfb2e44ce71517020cef466e6dcf7e93a21 3f60589b97d005f181bd8d5d8283f3e142bc3140
2257894a3315167d92d326cfcfaadc498c8372ec 09f68d3dd12adb26ee937134a07fcb5bf0c06a38
268c0142bfe25f9e02cf573b2ef4303536362bab 4e25428e23175f275c3d57c09f6a17b841ed8f85
